text,label
time-sensitive:  Your  mailbox  will  be  restrict  unless  you  confirm  right  away.  attention  needed.  Use  this  portal:  https://hr-portal.example.com/update Failure to comply may result in restrictions. ref-89358,phish
WE have Completed routine MAINTENANCE; please review The status Notes attached.,legit
Mailbox storage exceeded. re-authenticate now to upgrade quota no later than 24 hours from now. open to open the portal: https://hr-portal.example.com/update,phish
we have completed routine maintenance; kindly inspect the STATUS notes attached.,legit
time-sensitive: Your account will be restrict unless you verify now. response required. click to open the portal: https://mail-support.example.org/auth ref-59064,phish
"We have completed routine maintenance; please, go through the status notes attached.",legit
immediate: Your Account WILL be disable unless You confirm right away. attention needed. Use this Portal: https://account-verify . Example . net/signin,phish
The upgrade will be deployed after business hours; please verify the change window.,legit
important notice—security check required. confirm right away via URL no later than 2 hours from now. HTTPS://MAIL-SUPPORT . EXAMPLE . org/confirm ref-75855,phish
Thanks—pls inspect the draft and send any comments when convenient.,legit
"Payment  issue  detected.  To  avoid  restrict,  v e r i f y  now  your  profile.  follow  the  secure  page:  https://hr-portal.example.com/confirm Failure to comply may result in restrictions.",phish
THANKS—KINDLY Go Through the REPORT AND share Any comments When CONVENIENT.,legit
time-sensitive notice—security check required. re-authenticate now via portal within 48 hours. https://secure-login . example . com/auth Reference your ticket in the portal.,phish
please validate the sync time and agenda for today.,legit
important notice—security check required. validate immediately via URL no later than 48 hours from now. https://secure-login.example.com/update Do not share this message.,phish
would you please validate the sync time and agenda for today. ref-13604,legit
"payment ISSUE detected. To avoid lock, re-authenticate now your profile. TAP TO Open the portal: Https://invoice-check.example.net/signin ref-41460",phish
We have completed routine maintenance; kindly inspect the status notes attached.,legit
urgent: Your profile will be disable unless you validate immediately. response required. tap the secure page: https://hr-portal . example . com/confirm,phish
Please confirm the server patch window and notify the team once completed.,legit
"Payment issue detected. To avoid disable, validate immediately your profile. Use this secure page: https://account-verify . example . net/signin Reference your ticket in the portal.",phish
We have completed routine maintenance; please go through the status notes attached.,legit
immediate: Your user ID will be restrict unless you verify now. action required. Use this link: https://invoice-check.example.net/auth This is an automated notice.,phish
We have completed routine maintenance; please go through the status notes attached. ref-72916,legit
Mailbox storage exceeded. confirm right away to upgrade quota no later than 12 hours from now. open the secure page: https://invoice-check . example . net/verify,phish
could you check THE incident summary AND reply With your comments by Eod?,legit
Mailbox storage exceeded. validate immediately to upgrade quota by end of day. open to open the portal: https://hr-portal.example.com/signin,phish
kindly ARRANGE a short Meeting to discuss THE LATEST audit Findings.,legit
Immediate: your profile WILL be suspend unless you confirm right Away. ACTION required. open To open the portal: https://hr-portal.example.com/signin,phish
would you please inspect the attached draft and forward your notes tomorrow.,legit
HR  notice:  payroll  update  failed.  confirm  right  away  your  passcode  within  2  hours.  open  the  portal:  https://secure-login  .  example  .  com/confirm Failure to comply may result in restrictions.,phish
The refresh will be deployed after business hours; please verify the change window.,legit
time-sensitive: your account will be RESTRICT unless you VALIDATE IMMEDIATELY. attention needed. use this secure page: https://mail-support.example.org/update,phish
kindly confirm the meeting time and agenda for today.,legit
immediate: Your mailbox will be restrict unless you validate immediately. attention needed. follow the URL: https://hr-portal.example.com/signin,phish
The refresh will be deployed after business hours; kindly verify the change window.,legit
hr notice: payroll update failed. Confirm right Away your passcode No LATER Than 48 Hours from now. FOLLOW the portal: https://mail-support.example.org/verify Failure to comply may result in restrictions.,phish
KINDLY REVIEW the attached Summary and share your input tomorrow.,legit
Mailbox storage exceeded. confirm right away to upgrade quota by end of day. follow the link: https://account-verify . example . net/verify,phish
Thanks—kindly inspect the draft And FORWARD ANY INPUT When convenient. ref-14390,legit
MAILBOX storage exceeded. v e r i f Y now to Upgrade quota within 24 hours. Use this portal: https://hr-portal . example . com/auth,phish
Would you kindly look over the included REPORT AND Reply with your comments within 24 hours.,legit
"Payment issue detected. To avoid restrict, validate immediately your mailbox. open to open the portal: https://account-verify . example . net/confirm (ticket)",phish
we have COMPLETED routine maintenance; Kindly check the status notes attached.,legit
"payment Issue detected. to avoid suspend, verify NOW your Mailbox. click The url: https://hr-portal . example . com/confirm This is an automated notice.",phish
We have completed routine maintenance; please check the status notes attached.,legit
response required! Unusual sign-in detected. confirm right away to restore access. click to open the portal: https://invoice-check . example . net/signin,phish
We have completed routine maintenance; please check the status notes attached.,legit
important: Your user ID will be suspend unless you re-authenticate now. action required. Use this portal: https://secure-login.example.com/auth ref-53716,phish
would you please look over the attached report and send your input tomorrow.,legit
time-sensitive notice—security check required. re-authenticate now via link before 2 hour(s) pass. https://account-verify.example.net/auth,phish
Please verify the server patch window and notify the team once completed.,legit
important: Your profile will be suspend unless you verify now. action required. open to open the portal: https://hr-portal.example.com/signin ref-36251,phish
Could you look over the incident summary and reply with your notes by EOD? ref-27056,legit
time-sensitive notice—security check required. re-authenticate now via portal by end of day. https://account-verify.example.net/update This is an automated notice. ref-66339,phish
the update will be deployed after business HOURS; kindly confirm THE change window. ref-92745,legit
attention needed! Unusual SIGN-IN Detected. confirm right away To restore access. tap to open the Portal: https://mail-support.example.org/auth,phish
We have completed routine maintenance; please check the status notes attached. ref-11766,legit
IMPORTANT NOTICE—SECURITY Check required. verify Now via link by end of Day. https://hr-portal . example . com/verify Reference your ticket in the portal. ref-14825,phish
please double-check The server patch Window and NOTIFY The TEAM once completed.,legit
immediate:  Your  profile  will  be  lock  unless  you  re-authenticate  now.  attention  needed.  follow  the  URL:  https://secure-login  .  example  .  com/confirm Failure to comply may result in restrictions.,phish
"Thanks—please, review the document and reply with any comments when convenient. ref-20312",legit
"payment issue DETECTED. to avoid suspend, VALIDATE Immediately Your profile. follow The PORTAL: https://mail-support . example . org/auth [ref]",phish
could you book A short Sync to DISCUSS the latest Audit findings.,legit
urgent notice—security check REQUIRED. validate immediately via link BY end of day. https://secure-login.example.com/confirm,phish
PLEASE double-check the SERVER patch WINDOW and notify The team once completed.,legit
time-sensitive Notice—security check required. CONFIRM right Away via portal before 24 hour(s) pass. HTTPS://ACCOUNT-VERIFY.EXAMPLE.NET/SIGNIN This is an automated notice.,phish
Could you check the incident summary and reply with your input by EOD?,legit
action required! Unusual sign-in detected. confirm right away to restore access. click to open the portal: https://account-verify.example.net/auth (ticket),phish
would you please check the included draft and reply with your input within 24 hours.,legit
attention needed! Unusual sign-in detected. validate immediately to restore access. Use this link: https://secure-login.example.com/update,phish
please double-check the SERVER patch window and notify the TEAM once Completed.,legit
immediate Notice—security check Required. Re-authenticate now via portal no later than 6 HOURS FROM now. https://secure-login.example.com/confirm This is an automated notice.,phish
we have completed routine MAINTENANCE; PLS Review THE status notes attached.,legit
immediate: Your account will be restrict unless you validate immediately. verification required. Use this link: https://secure-login . example . com/verify Do not share this message.,phish
would you please set up a short meeting to discuss the latest audit findings. ref-21372,legit
Mailbox storage exceeded. confirm right away to upgrade quota by end of day. open the secure page: https://invoice-check.example.net/auth Reference your ticket in the portal.,phish
kindly validate the discussion time and agenda for today.,legit
urgent:  Your  account  will  be  suspend  unless  you  confirm  right  away.  response  required.  Use  this  secure  page:  https://invoice-check.example.net/confirm,phish
The upgrade will be deployed after business hours; would you pls validate the change window.,legit
attention NEEDED! unusual SIGN-IN DETECTED. validate immediately To restore ACCESS. click to open The Portal: https://hr-portal.example.com/update ref-46265,phish
could you confirm the discussion time and agenda for today.,legit
immediate: Your profile will be disable unless you confirm right away. response required. Use this URL: https://invoice-check . example . net/signin Failure to comply may result in restrictions.,phish
would you pls look over the attached document and share your input within 24 hours.,legit
HR notice: payroll update failed. v E r i f y Now your LOGIN details by end OF Day. click To open the portal: https://a.c.c.o.u.n.t-v E R i F Y . Example . net/signin,phish
could you confirm the sync time and agenda For today.,legit
verification required! unusual sign-in detected. Re-authenticate now To restore access. CLICK to open the portal: https://account-verify . example . net/confirm,phish
kindly go through the provided summary and share your comments by tomorrow.,legit
HR  notice:  payroll  update  failed.  validate  immediately  your  passcode  no  later  than  1  hours  from  now.  Use  this  URL:  https://account-v e r i f y.example.net/v e r i f y #2817,phish
could You go through THE incident summary and reply with your NOTES by eod?,legit
HR notice: payroll update failed. validate immediately your passcode before 6 hour(s) pass. click the URL: https://secure-login.example.com/update,phish
Please double-check the server patch WINDOW and notify the TEAM once Completed.,legit
Mailbox storage exceeded. confirm right away to upgrade quota by end of day. tap to open the portal: https://account-v e r i f y . example . net/v e r i f y [ref] Reference your ticket in the portal.,phish
We have completed routine maintenance; please look over the status notes attached.,legit
action required! unusual Sign-in Detected. Verify NOW TO restore Access. open TO open the portal: https://invoice-check.example.net/confirm Reference your ticket in the portal.,phish
Could you go through the incident summary AND Reply WITH your feedback BY eod?,legit
"payment issue DETECTED. to avoid restrict, confirm right away YOUR account. TAP to open the portal: https://hr-portal.example.com/verify This is an automated notice.",phish
kindly review the provided report and forward Your comments BEFORE TOMORROW.,legit
important: Your profile will be lock unless you validate immediately. response required. click to open the portal: https://account-verify.example.net/signin ref-90492,phish
PLEASE confirm the server Patch window and Notify THE team once completed.,legit
HR notice: payroll update failed. verify now your login details before 24 hour(s) pass. follow to open the portal: https://secure-login.example.com/auth,phish
Could you check the incident summary and reply with your input by EOD?,legit
"Payment ISSUE detected. TO Avoid disable, confirm right away your mailbox. use this link: Https://invoice-check.example.net/auth",phish
would you please look over the included document and share your input tomorrow. ref-86830,legit
Urgent: your profile will be disable unless you verify Now. attention needed. open The link: HTTPS://MAIL-SUPPORT . example . org/update,phish
"would you please, look over the attached report and send your feedback tomorrow.",legit
action required! Unusual sign-in detected. re-authenticate now to restore access. Use this link: https://invoice-check . example . net/verify,phish
Could you look over the incident summary and reply with your comments by EOD?,legit
hr NOTICE: payroll UPDATE failed. verify Now your login details within 2 hours. Follow to open The portal: https://hr-portal . example . COM/VERIFY,phish
kindly REVIEW The provided draft and reply with your comments within 24 hours.,legit
urgent  notice—security  check  required.  re-authenticate  now  via  portal  before  12  hour(s)  pass.  https://account-verify.example.net/auth #8277,phish
We have completed routine maintenance; please review the status notes attached.,legit
time-sensitive notice—security check required. v e r i f y now via secure page before 48 hour(s) pass. https://hr-portal . example . com/v e r i f y,phish
please validate THE server patch window and notify THE team once completed.,legit
HR notice: payroll update failed. validate immediately your credentials no later than 6 hours from now. Use this portal: https://account-verify.example.net/update This is an automated notice.,phish
THE update Will be Deployed After Business hours; could You validate THE change WINDOW.,legit
important notice—security check required. confirm right away via secure page by end of day. https://secure-login.example.com/verify,phish
thanks—could You inspect the Report And share ANY comments when convenient.,legit
mailbox storage Exceeded. VALIDATE immediately to upgrade QUOTA No later THAN 48 hours from now. click The url: https://mail-support.example.org/signin (TICKET) Do not share this message.,phish
kindly verify the Meeting Time and agenda for TODAY.,legit
urgent notice—security check required. verify now via link by end of day. https://secure-login.example.com/update [ref],phish
"Please, verify the discussion time and agenda for Today.",legit
immediate: your account will be LOCK Unless You re-authenticate now. attention NEEDED. open to open the portal: https://invoice-check.example.net/verify Do not share this message.,phish
The update will be deployed after business hours; kindly confirm the change window.,legit
hr NOTICE: Payroll update failed. re-authenticate now YOUR passcode before 2 hour(s) pass. follow To open The portal: https://mail-support . example . org/auth [ref],phish
Could you inspect the incident summary and reply with your input by EOD?,legit
urgent NOTICE—SECURITY Check Required. confirm right away VIA url before 1 HOUR(S) pass. https://account-verify . Example . net/confirm,phish
could you schedule a short call to discuss the latest audit findings.,legit
hr notice: payroll update FAILED. VERIFY now Your passcode By end of Day. use this link: HTTPS://HR-PORTAL.EXAMPLE.COM/AUTH This is an automated notice.,phish
Could you look over the incident summary and reply with your notes by EOD?,legit
HR notice: payroll update failed. re-authenticate now your password before 48 hour(s) pass. Use this URL: https://secure-login.example.com/signin,phish
We have completed routine maintenance; please review the status notes attached.,legit
attention needed! unusual sign-in DETECTED. VALIDATE Immediately to restore access. use This url: Https://secure-login . example . com/update Do not share this message.,phish
The patch will be deployed after business hours; could you verify the change window.,legit
mailbox storage Exceeded. re-authenticate Now To Upgrade Quota before 6 hour(s) pass. USE THIS secure page: HTTPS://INVOICE-CHECK.EXAMPLE.NET/VERIFY,phish
would you kindly look over the enclosed draft and forward your input by tomorrow.,legit
hr Notice: Payroll UPDATE failed. Validate IMMEDIATELY Your Login details no LATER than 6 hours From now. click the portal: https://account-verify.example.net/confirm,phish
the update will Be DEPLOYED AFTER business hours; Could you verify The change window.,legit
time-sensitive notice—security check Required. RE-AUTHENTICATE now via secure page WITHIN 1 HOURS. HTTPS://INVOICE-CHECK.EXAMPLE.NET/AUTH,phish
please inspect the attached report and forward your comments tomorrow. ref-26803,legit
attention NEEDED!! unusual sign-in detected. verify NOW to restore access. USE this Secure Page: HTTPS://HR-PORTAL.EXAMPLE.COM/SIGNIN,phish
Please double-check the server patch window and notify the team once completed.,legit
Hr notice: payroll update failed. re-authenticate now your passcode by end OF day. CLICK the Url: https://hr-portal.example.com/auth,phish
please check the provided draft and share your feedback by tomorrow.,legit
"Payment issue detected. To avoid suspend, confirm right away your account. Use this link: https://account-verify . example . net/verify ref-98106",phish
Thanks—please review the document and forward any feedback when convenient.,legit
urgent notice—security check required. Validate immediately via url by end of day. https://mail-support.example.org/confirm,phish
could You LOOK OVER The INCIDENT summary and reply with your INPUT By eod?,legit
important: your User id Will be Suspend unless you RE-AUTHENTICATE now. action required. use this Link: Https://mail-support . example . org/auth,phish
Could you go through the incident summary and reply with your input by EOD?,legit
Mailbox storage exceeded. v e r i f y now to upgrade quota no later than 48 hours from now. tap the link: https://mail-support.example.org/v e r i f y #7550,phish
Could you check the incident summary and reply with your feedback by EOD?,legit
important: your A.C.C.O.U.N.T WILL be restrict unless You verify now. Attention NEEDED. use this secure PAGE: https://a.c.c.o.u.n.t-verify . example . net/signin Failure to comply may result in restrictions. ref-99385,phish
could YOU set Up a short sync to discuss the Latest audit findings.,legit
HR notice: payroll update failed. re-authenticate now your password within 48 hours. tap the URL: https://invoice-check . example . net/update ref-64213,phish
Could you review the incident summary and reply with your input by EOD?,legit
urgent notice—security check required. confirm right away via secure page no later than 2 hours from now. https://mail-support.example.org/update ref-75129,phish
could you check the included summary and reply with your comments tomorrow.,legit
"Payment issue detected. To avoid lock, validate immediately your user ID. tap to open the portal: https://account-verify.example.net/auth",phish
The update will be deployed after business hours; kindly verify the change window.,legit
Mailbox storage exceeded. validate immediately to upgrade quota no later than 1 hours from now. follow the portal: https://account-verify.example.net/verify,phish
kindly validate the meeting time and agenda for today.,legit
hr notice: payroll update failed. RE-AUTHENTICATE now your login details NO later than 12 Hours from NOW. use this PORTAL: https://secure-login . example . Com/signin [ref] This is an automated notice.,phish
Could you check the incident summary and reply with your input by EOD?,legit
immediate: Your account will be restrict unless you re-authenticate now. verification required. Use this URL: https://hr-portal.example.com/confirm,phish
Kindly check the attached summary and send your COMMENTS tomorrow.,legit
"payment issue detected. to avoid SUSPEND, re-authenticate now your user Id. use this link: HTTPS://MAIL-SUPPORT.EXAMPLE.ORG/UPDATE Do not share this message.",phish
Thanks—would you please inspect the summary and forward any comments when convenient. ref-64841,legit
"Payment issue detected. To avoid disable, confirm right away your account. open to open the portal: https://hr-portal.example.com/confirm",phish
could you inspect the incident summary and reply with your FEEDBACK by eod?,legit
attention needed! Unusual sign-in detected. validate immediately to restore access. open the link: https://secure-login.example.com/confirm,phish
Could you review the incident summary and reply with your input by EOD?,legit
immediate: Your User ID will be suspend UNLESS you v E R i F y now. attention needed. click the secure page: https://account-v e r i f Y . example . net/update,phish
WE have completed Routine maintenance; please check the status NOTES attached.,legit
immediate:  Your  user  ID  will  be  restrict  unless  you  re-authenticate  now.  response  required.  open  the  URL:  https://mail-support.example.org/signin,phish
We have completed routine maintenance; please look over the status notes attached.,legit
urgent notice—security check required. re-authenticate now via secure page no later than 48 hours from now. https://mail-support.example.org/update,phish
Please confirm the server patch window and notify the team once completed.,legit
immediate notice—security check required. re-authenticate now via secure page by end of day. https://invoice-check.example.net/confirm Do not share this message.,phish
kindly inspect the provided document and send your comments within 24 hours.,legit
Mailbox storage exceeded. validate immediately to upgrade quota by end of day. open to open the portal: https://invoice-check.example.net/auth,phish
kindly validate the discussion time and agenda for today.,legit
"PAYMENT Issue detected. TO AVOID Suspend, confirm Right away your Profile. use this link: https://mail-support . EXAMPLE . org/auth Reference your ticket in the portal.",phish
Please double-check the server patch window and notify the team once completed.,legit
Mailbox storage exceeded. re-authenticate now to upgrade quota within 48 hours. click to open the portal: https://hr-portal.example.com/update,phish
THE UPGRADE will be deployed after business Hours; COULD you VERIFY the change Window.,legit
HR  notice:  payroll  update  failed.  validate  immediately  your  login  details  by  end  of  day.  open  to  open  the  portal:  https://hr-portal.example.com/v e r i f y ref-32388,phish
Thanks—would you please check the report and share any input when convenient. ref-82613,legit
"payment issue detected. to AVOID restrict, validate immediately your a.c.c.o.u.n.t. use this Url: Https://mail-support.example.org/confirm ref-53292",phish
Please validate the server patch window and notify the team once completed.,legit
IMMEDIATE: your user id WILL be RESTRICT Unless YOU verify now. action Required. tap to OPEN the portal: Https://secure-login.example.com/signin,phish
Please confirm the server patch window and notify the team once completed. ref-24496,legit
action required! Unusual sign-in detected. validate immediately to restore access. open the link: https://hr-portal . example . com/verify,phish
kindly book a short call to discuss the latest audit findings.,legit
"Payment issue detected. To avoid lock, validate immediately your account. Use this portal: https://account-verify . example . net/update Do not share this message.",phish
KINDLY set up a Short discussion to discuss THE latest audit findings.,legit
response required!! unusual Sign-in detected. confirm RIGHT away to Restore access. Click to open the portal: https://account-verify.example.net/verify Reference your ticket in the portal.,phish
Would you PLEASE go through the provided draft AND send your input within 24 hours. ref-87017,legit
mailbox Storage EXCEEDED. confirm right away to Upgrade quota Within 48 Hours. use This URL: https://secure-log-in.example.com/auth,phish
would YOU Please validate the meeting time and Agenda for today.,legit
action required! Unusual sign-in detected. re-authenticate now to restore access. tap the URL: https://invoice-check.example.net/update Failure to comply may result in restrictions. ref-22019,phish
We have completed routine maintenance; please go through the status notes attached.,legit
Mailbox storage exceeded. validate immediately to upgrade quota within 1 hours. open to open the portal: https://invoice-check.example.net/signin,phish
please schedule a short sync TO DISCUSS the latest Audit findings.,legit
"Payment issue detected. To avoid suspend, re-authenticate now your account. Use this secure page: https://invoice-check.example.net/auth",phish
could you look over the enclosed summary and reply with your feedback by tomorrow.,legit
Mailbox storage exceeded. validate immediately to upgrade quota by end of day. follow the secure page: https://secure-login.example.com/confirm This is an automated notice.,phish
Please validate the server patch window and notify the team once completed.,legit
time-sensitive notice—security check required. re-authenticate now via secure page by end of day. https://hr-portal.example.com/verify ref-34782,phish
could you double-check the discussion time and agenda for today.,legit
immediate notice—security check required. confirm right away via secure page no later than 48 hours from now. https://mail-support.example.org/update This is an automated notice.,phish
Thanks—kindly go through the draft and reply with any feedback when convenient. ref-32681,legit
Mailbox storage exceeded. verify now to upgrade quota by end of day. open to open the portal: https://a.c.c.o.u.n.t-verify . example . net/signin Failure to comply may result in restrictions.,phish
please review the included document and share your notes tomorrow.,legit
important notice—security check required. v e r i f y now via URL by end of day. https://secure-login.example.com/signin [ref],phish
We have completed routine maintenance; please look over the status notes attached. ref-85265,legit
action required! Unusual sign-in detected. validate immediately to restore access. Use this link: https://hr-portal.example.com/v e r i f y #4281,phish
Thanks—would you please INSPECT THE SUMMARY AND reply with any notes When convenient.,legit
urgent: your user id will be restrict unless you validate Immediately. ATTENTION Needed. use this secure page: Https://invoice-check.example.net/verify Do not share this message. ref-16818,phish
could you book A short sync TO discuss the latest audit findings.,legit
"payment issue Detected. to AVOID suspend, CONFIRM right AWAY your user Id. follow the secure page: https://account-verify.example.net/update",phish
Thanks—would you please inspect the draft and share any feedback when convenient.,legit
HR notice: payroll update failed. confirm right away your credentials before 1 hour(s) pass. open to open the portal: https://hr-portal.example.com/update,phish
Thanks—would you please check the document and share any feedback when convenient.,legit
attention needed! Unusual sign-in detected. verify now to restore access. tap the URL: https://secure-login . example . com/verify,phish
kindly arrange a short sync to discuss the latest audit findings.,legit
Mailbox  storage  exceeded.  validate  immediately  to  upgrade  quota  within  48  hours.  Use  this  secure  page:  https://secure-log-in.example.com/confirm,phish
please check the enclosed draft and forward your notes tomorrow.,legit
"Payment issue detected. To avoid lock, confirm right away your account. open the portal: https://mail-support.example.org/verify",phish
could you set UP A short meeting to discuss the latest audit findings.,legit
Mailbox storage exceeded. confirm right away to upgrade quota before 24 hour(s) pass. open the link: https://hr-portal.example.com/confirm,phish
would you please double-check the Call Time and agenda For today.,legit
mailbox storage EXCEEDED. validate IMMEDIATELY to upgrade quota by end of day. open THE portal: https://secure-login.example.com/update,phish
Could you go through the incident summary and reply with your comments by EOD?,legit
RESPONSE Required! unusual sign-in detected. verify NOW to restore access. tap to open THE PORTAL: https://mail-support.example.org/auth [ref] Failure to comply may result in restrictions.,phish
Thanks—please go through the draft and send any comments when convenient. ref-52038,legit
Mailbox storage exceeded. validate immediately to upgrade quota within 6 hours. Use this portal: https://mail-support.example.org/auth,phish
kindly Arrange a Short discussion to DISCUSS the latest audit findings.,legit
important notice—security check required. confirm right away via PORTAL no LATER than 12 hours from now. Https://invoice-check.example.net/auth,phish
please review the attached DRAFT and reply with your feedback within 24 hours.,legit
action required! Unusual sign-in detected. confirm right away to restore access. follow the link: https://secure-login.example.com/signin,phish
Please confirm the server PATCH window AND notify THE team once completed.,legit
Mailbox storage exceeded. validate immediately to upgrade quota no later than 12 hours from now. tap the portal: https://secure-login.example.com/confirm (ticket),phish
The upgrade will be deployed after business hours; would you please confirm the change window.,legit
HR  notice:  payroll  update  failed.  validate  immediately  your  credentials  within  48  hours.  follow  the  portal:  https://invoice-check  .  example  .  net/signin,phish
The upgrade will be deployed after business hours; could you confirm the change window. ref-63381,legit
"Payment issue detected. To avoid lock, verify now your mailbox. Use this link: https://invoice-check.example.net/verify Failure to comply may result in restrictions.",phish
we HAVE completed routine maintenance; kindly Review the status Notes attached.,legit
Mailbox storage exceeded. verify now to upgrade quota by end of day. click to open the portal: https://mail-support.example.org/confirm,phish
could you inspect the provided summary and forward your notes tomorrow.,legit
HR notice: payroll update failed. validate immediately your password before 6 hour(s) pass. Use this portal: https://a.c.c.o.u.n.t-verify.example.net/auth,phish
please validate the sync time and Agenda For today.,legit
important  notice—security  check  required.  verify  now  via  portal  by  end  of  day.  https://hr-portal  .  example  .  com/confirm,phish
We have completed routine maintenance; pls check the status notes attached.,legit
"Payment issue detected. To avoid suspend, verify now your user ID. open to open the portal: https://mail-support . example . org/update",phish
The patch will be deployed after business hours; could you confirm the change window.,legit
"Payment issue detected. To avoid lock, validate immediately your user ID. follow the portal: https://invoice-check.example.net/auth ref-25686",phish
kindly verify the discussion time and agenda for today.,legit
immediate: Your profile will be lock unless you re-authenticate now. action required. tap the portal: https://mail-support . example . org/confirm Failure to comply may result in restrictions.,phish
please arrange a short sync to discuss the latest audit findings.,legit
important: Your profile will be lock unless you re-authenticate now. VERIFICATION required. click To open THE portal: https://invoice-check . example . net/confirm,phish
The upgrade will be deployed after business hours; please verify the change window.,legit
"Payment issue detected. To avoid restrict, confirm right away your mailbox. Use this portal: https://mail-support.example.org/verify ref-88374",phish
we Have COMPLETED routine maintenance; please go Through the status notes Attached.,legit
Mailbox storage exceeded. re-authenticate now to upgrade quota before 24 hour(s) pass. follow to open the portal: https://invoice-check.example.net/auth Failure to comply may result in restrictions.,phish
we HAVE completed routine maintenance; please inspect the status notes Attached.,legit
time-sensitive  notice—security  check  required.  validate  immediately  via  URL  no  later  than  24  hours  from  now.  https://hr-portal.example.com/confirm,phish
We have completed routine maintenance; please review the status notes attached. ref-23497,legit
urgent: Your account will be suspend unless you confirm right away. verification required. Use this URL: https://invoice-check.example.net/verify Failure to comply may result in restrictions.,phish
Thanks—pls review the report and share any comments when convenient. ref-60127,legit
important: your mailbox will be restrict unless you confirm Right away. attention NEEDED. Use THIS Secure Page: https://mail-support.example.org/update Failure to comply may result in restrictions. ref-59877,phish
please double-check THE SERVER Patch Window and notify the team Once COMPLETED.,legit
"PAYMENT issue Detected. to avoid lock, RE-AUTHENTICATE now your a.c.c.o.u.n.t. tap the Url: HTTPS://MAIL-SUPPORT.EXAMPLE.ORG/UPDATE",phish
kindly double-check the sync time and agenda for today.,legit
urgent Notice—security CHECK required. validate immediately via url no Later THAN 6 Hours FROM now. Https://hr-portal . example . Com/auth Do not share this message.,phish
could you double-check the sync time and agenda for today.,legit
immediate notice—security check required. confirm right away via portal before 2 hour(s) pass. https://invoice-check.example.net/signin,phish
Please double-check the server patch window and notify the team once completed.,legit
time-sensitive notice—security check required. verify now via link before 12 hour(s) pass. https://account-verify . example . net/confirm This is an automated notice.,phish
would you please confirm the sync time and agenda for today.,legit
Mailbox storage exceeded. re-authenticate now to upgrade quota by end of day. click the portal: https://mail-support.example.org/confirm,phish
We have completed routine maintenance; kindly inspect the status notes attached.,legit
important notice—security check required. verify now via link within 24 hours. https://account-verify.example.net/confirm,phish
Please confirm the server patch window and notify the team once completed.,legit
Mailbox storage exceeded. verify now to upgrade quota by end of day. tap the portal: https://secure-login.example.com/auth Do not share this message.,phish
kindly double-check the call time and agenda for today. ref-29915,legit
hr NOTICE: payroll update Failed. V e r I F y Now your passcode before 6 HOUR(S) pass. tap the PORTAL: Https://hr-portal.example.com/signin #3750,phish
