sequence,label
brk brk open stat lseek clock_gettime getuid poll getuid rt_sigprocmask munmap stat write select rt_sigaction dup2 lseek munmap munmap write mmap rt_sigaction close select getuid dup poll select lseek fstat write munmap,normal
uname uname getuid getgid read write execve execve setgid setuid rename fsync rename sendto socket connect,attack
rt_sigprocmask rt_sigaction clock_gettime brk getgid rt_sigaction read open getpid lseek lseek rt_sigprocmask close rt_sigaction getpid getpid poll write write getuid getgid munmap getgid open clock_gettime poll dup2 write getgid getpid lseek dup2 brk mmap getuid brk dup2 getuid fstat getuid poll mmap clock_gettime ppoll close close stat stat read mmap lseek rt_sigprocmask mmap clock_gettime lseek,normal
stat uname stat stat getuid execve execve execve open execve open rename fsync socket recvfrom recvfrom connect socket recvfrom,attack
munmap getpid clock_gettime access rt_sigaction rt_sigaction poll access getgid write dup2 ppoll clock_gettime getgid getuid munmap dup2 getgid rt_sigaction mmap lseek poll write getgid getuid,normal
getuid access stat open execve read setuid chmod setuid write rename rename open connect connect close socket connect,attack
clock_gettime getpid brk write write stat read ppoll rt_sigprocmask brk open mmap write getgid clock_gettime rt_sigaction fstat read getuid write munmap lseek munmap getuid access select select read poll ppoll close mmap stat getpid dup ppoll brk stat access,normal
access uname getgid stat execve open write open write rename fsync rename connect recvfrom socket connect recvfrom,attack
rt_sigaction write rt_sigaction ppoll rt_sigprocmask dup2 dup2 dup write getgid poll munmap clock_gettime getpid dup getpid open read fstat open read getuid rt_sigprocmask ppoll rt_sigprocmask brk clock_gettime read rt_sigprocmask ppoll lseek lseek rt_sigprocmask stat getuid,normal
getgid access stat access getuid write execve open open read read fsync fsync open recvfrom recvfrom socket,attack
rt_sigprocmask getuid clock_gettime close write getuid fstat access getpid open getuid fstat read clock_gettime poll read rt_sigaction mmap rt_sigaction poll munmap fstat write poll clock_gettime fstat rt_sigprocmask open getgid fstat rt_sigaction munmap close dup getgid poll dup getpid brk mmap brk clock_gettime,normal
stat uname getuid access getuid execve execve execve open chown setgid setuid open open fsync recvfrom connect connect close close,attack
getpid poll getuid close dup open rt_sigprocmask ppoll clock_gettime open mmap getpid munmap getpid lseek stat dup2 brk dup2 dup2 close lseek open fstat getgid brk access rt_sigaction getpid poll rt_sigprocmask select,normal
getuid uname uname stat getgid getgid execve read execve read read setuid chown open open connect socket connect recvfrom sendto sendto,attack
read getuid lseek clock_gettime ppoll stat getgid close clock_gettime dup2 munmap read lseek getgid close dup getgid poll poll write write getuid write read getuid stat stat,normal
getgid access access uname getgid stat execve open write rename rename socket close socket close sendto,attack
rt_sigaction munmap brk mmap access lseek brk close ppoll ppoll select rt_sigaction access rt_sigaction read munmap brk select getuid fstat dup2 rt_sigprocmask open munmap clock_gettime rt_sigaction getuid mmap poll mmap fstat open ppoll open getuid lseek getuid rt_sigaction mmap poll fstat close fstat fstat rt_sigprocmask,normal
access stat uname read execve execve open write execve open fsync rename fsync close close close sendto,attack
rt_sigaction read fstat stat rt_sigprocmask open dup stat write clock_gettime dup getgid mmap open poll dup getuid getgid getgid dup2 munmap dup munmap write lseek close close dup getuid dup2 select,normal
access uname stat access open write open read write setuid chmod chmod chown open fsync rename rename recvfrom socket sendto connect,attack
fstat dup2 close access read clock_gettime select access brk fstat fstat read fstat write open munmap getpid dup2 access rt_sigaction munmap poll write rt_sigaction,normal
getuid getuid stat getgid read open read execve open setgid chown fsync write fsync socket socket connect socket recvfrom recvfrom,attack
fstat lseek fstat read poll getgid close mmap brk lseek select ppoll stat open close lseek read getgid lseek munmap rt_sigaction select write rt_sigprocmask stat access munmap brk fstat rt_sigaction stat fstat read getpid select read mmap rt_sigprocmask dup2 poll poll getgid getgid brk rt_sigprocmask access rt_sigaction access rt_sigaction read access clock_gettime rt_sigprocmask access,normal
